id,text
252,i got it from macy's.
253,it's really nice.
254,"thanks again. you look nice today, too."
255,thank you. i just got these shoes today.
256,really? what kind of shoes are they?
257,these are called all star chuck taylors.
258,i really like those. how much did they cost?
259,they were about forty dollars.
260,i absolutely love what you're wearing today.
261,you do? i just bought this outfit a couple days ago.
262,"seriously, it looks really nice on you. where did you buy it from?"
263,i bought it from the macy's at the santa anita mall.
264,i really like that outfit.
265,"thanks. i think you look nice today, too."
266,thank you. i just bought these new shoes earlier today.
267,those are nice. what are they?
268,these are some chucks.
269,those are great. how much were they?
270,i got them for forty.
271,i think that you look very cute today.
272,is that right? this is a brand new outfit.
273,what store did you get it from?
274,i went to macy's and picked it out.
275,i love your outfit right now.
276,"well, i think you look nice today too."
277,thanks. i found these new shoes earlier at the store.
278,i think that those are some really nice shoes. what kind are they?
279,these are chucks.
280,your shoes look really nice. how much did you get them for?
281,"tell me, what do you enjoy doing in your spare time?"
282,i enjoy drawing and painting.
283,you know how to draw and paint?
284,"yes, i do."
285,when did you learn how to do that?
286,i learned back in high school.
287,"oh, so you took an art class?"
288,"yeah, i loved that class."
289,i see that you're pretty talented.
290,thank you very much.
291,i wish i had a talent like that.
292,what kinds of things do you like to do?
293,i've always liked to draw and paint.
294,i didn't know you knew how to draw and paint.
295,i do it every once in a while.
296,how long have you known how to do that?
297,i first learned how to do it in high school.
298,did you take some sort of art class or something?
299,that was my favorite class.
300,you have got to be talented.
301,thanks.
302,if only i was talented.
303,are there any hobbies you do?
304,"when i have time, i sometimes draw and paint."
305,"oh, you actually do that?"
306,"every so often, i do."
307,did you always know how to draw and paint?
308,i was taught in high school how to draw and paint.
309,you had an art class?
310,"exactly, it was my favorite class."
311,"well, it's good that you're so talented."
312,i appreciate that.
313,what's your favorite movie?
314,my favorite movie is superbad.
315,"oh, why is that?"
316,it's the funniest movie that i've ever seen.
317,that's true. it is a very funny movie.
318,you've seen it before?†
319,"yes, i saw that movie the first day it came out in theaters."
320,didn't you laugh through the whole movie? i did.
321,me too. that movie brought tears to my eyes.
322,mine too.
323,i have it on dvd at my house if you want to come over and watch it.
324,which movie is your favorite to watch?
325,"i have to say, my favorite movie is superbad."
326,is that right? why?
327,"honestly, it is one of the funniest movies i've seen in a long time."
328,you're right. that movie is hilarious.
329,i didn't think you saw that movie.
330,i went to see it the day it came out.
331,i was laughing through the whole movie.
332,"i couldn't help laughing, either.†"
333,same here.
334,i bought the movie. would you like to come to my house and watch it?
335,"out of every movie that you've seen, which one is your favorite?"
336,i'm going to have to say that superbad is the best movie ever.
337,"you think so, how come?"
338,"well, superbad is super funny."
339,"you're not lying, i found that movie absolutely hilarious."
340,i didn't know that you saw superbad before.
341,i made sure to be in line to see it the first day it came out.
342,i couldn't keep from laughing throughout the whole movie.
343,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
344,that's exactly how i felt.
345,what type of music do you like to listen to?
346,i like listening to different kinds of music.
347,"like what, for instance?"
348,i enjoy rock and r&b.
349,why is that?
350,i like the different instruments that they use.
351,that's a good reason to like something.
352,what kind of music do you enjoy listening to?
353,i enjoy listening to all kinds of music.
354,what kind?
355,i like to listen to rock and r&b.
356,why do you like that type of music?
357,i like the kinds of instruments that they use.
358,i think that's an excellent reason to like something.
359,what is your favorite kind of music?
360,i listen to various types of music.
361,what genres?
362,i enjoy listening to both rock and r&b.
363,what interests you in that type of music?
364,i enjoy the different types of instruments that they use.
365,did you go to the basketball game on friday?
366,"no, i couldn't make it."
367,you missed a really good game.
368,"oh, really? who won?"
369,our school did. they played really well.
370,too bad i was busy. i really wanted to go.
371,"yeah, you should have. it was really exciting."
372,so what was the score?
373,the score was 101-98.
374,"man, that was a really close game."
375,that's what made it so great.
376,were you able to attend friday night's basketball game?
377,i was unable to make it.
378,you should have been there. it was intense.
379,is that right. who ended up winning?
380,our team was victorious.
381,i wish i was free that night. i'm kind of mad that i didn't go.
382,it was a great game.
383,what was the score at the end of the game?
384,our team won 101-98.
385,sounds like it was a close game.
386,that's the reason it was such a great game.
387,i was meaning to ask you if you saw the basketball game on friday.
388,"i wanted to go, but i couldn't."
389,it was a great game.
390,it's too bad that i couldn't make it. who won?
391,our team played hard and won.
392,i really wish i went to the game.
393,it was the best game ever.
394,so tell me the final score.
395,"the other team lost by three points, 101-98.†"
396,it must've been a close game.
397,what are you doing this weekend?
398,i'm going to the movies with a friend. how about you?
399,i'm not sure yet.
400,"well, did you want to go see a movie with me?"
401,what movie are you going to see?
402,i'm not sure yet. is there something you want to see?
403,there's nothing i can think of.
404,"so, did you want to go?"
405,"no, thanks, maybe another time."
406,do you know what you're going to do this weekend?
407,i am going to see a movie with a friend of mine. what about you?
408,i don't know.
409,would you like to see a movie with me and my friend?
410,do you know what movie you're going to watch?
411,"i don't know, but was there a certain movie you wanted to see?"
412,none that i can think of.
413,"well, would you like to go?"
414,"thank you for inviting me, but i think i'll pass."
415,you have any ideas as to what you want to do this weekend?
416,i'm going to the movie theater with my friend. what are you going to do?
417,i'm not quite sure yet.
418,how about you see a movie with me and my friend?
419,what movie are you and your friend planning on watching?
420,not sure. is there a movie out that catches your eye?
421,no good movies come to mind.
422,have you decided whether or not you would like to go?
423,did you go to school today?
424,"yeah, i went to school today. were you there?"
425,"no, i didn't go, i've been sick."
426,that sucks. did you want the assignments from english class?
427,"that would be nice, thank you."
428,"no problem, you're welcome."
429,i will be glad to do the same for you when you're sick.
430,have you attended school today?
431,i attended school today. did you?
432,i wasn't able to attend school because i was feeling ill.
433,i'm sorry to hear that. would you like the assignments from english class?
434,"i would really appreciate that, thanks."
435,it's no trouble at all.
436,"if you get sick, i'll return the favor."
437,have you gone to school today?
438,i went to school today. did you go to school?
439,"i couldn't go to school today, i was sick."
440,that's horrible. i'd be happy to give you the assignments from english class.
441,"thank you very much, that's kind of you."
442,don't mention it.
443,did you hear the news?
444,what happened?
445,our cousin went into labor and had her baby last week.
446,she did? why didn't anyone tell me?
447,i would've thought that somebody would have told you.
448,"no, i had no idea."
449,"well, she did, her baby was 8 pounds 6 ounces."
450,"oh my god, that's great!"
451,are you going to go and visit her and the baby?
452,i think that i might.
453,good! i just thought i'd let you know.
454,have you heard what happened?
455,heard what?
456,debrah already had her baby.
457,i didn't know that.
458,i thought you knew.
459,i honestly didn't know.
460,the baby was 8 pounds 6 ounces.
461,that's good to hear.
462,will you go and visit them?
463,of course i will.
464,i just wanted to give you the good news.
465,have you heard the news?
466,i haven't heard anything.
467,debrah had her baby last week.
468,nobody told me.
469,i thought you heard.
470,i really wasn't told anything.
471,she was a cute 8 pounds 6 ounces.
472,"wow, how exciting."
473,"i know, you should really go and see her and the baby."
474,of course i will.
475,did you go to school today?
476,of course. did you?
477,"i didn't want to, so i didn't."
478,"that's sad, but have you gone to the movies recently?"
479,that's a switch.
480,"i'm serious, have you?"
481,"no, i haven't. why?"
482,i really want to go to the movies this weekend.
483,so go then.
484,i really don't want to go by myself.
485,"well anyway, do you plan on going to school tomorrow?"
486,did you make it to school today?
487,i always do. did you go to school today?
488,"no, i didn't."
489,"you should have, but have you seen any movies lately?"
490,that was an odd change of subject.
491,"maybe it was, but answer the question."
492,"no, not recently."
493,i want to go to see a movie this weekend.
494,what's stopping you then?
495,i don't want to go alone.
496,"so, will you be at school tomorrow?"
497,did you even bother to go to school today?
498,"yeah, i went. did you go?"
499,"no, i didn't feel like it."
500,"that's nice, have you been to the movies lately?"
501,"no, but that was a random change of subject."
502,"it may have been random, but have you?"
503,i haven't lately.
504,i would love to catch a movie this weekend.
505,"so then, why don't you just go?"
506,i don't want to see a movie by myself.
507,thanks for coming to see me today.
508,it's no problem. i was really missing you anyway.
509,i missed you too.
510,why haven't you tried to come see me then?
511,i've been really busy.
512,doing what?
513,working.
514,"i would've come to see you sooner, but i've been busy too."
515,what have you been doing?
516,i've been working too.
517,"well regardless, i'm very happy that you came to see me."
518,i'm really glad that you came to see me.
519,i had to. i was missing you a lot.
520,i was missing you too.
521,"so, why haven't you visited me?"
522,i've actually been busy lately.
523,what have you been doing?
524,i've just been working really hard.
525,i've also been busy.
526,tell me what you've been doing.
527,"basically, i've been working too."
528,"well whatever, i'm glad you came."
529,i'm really happy that you came to visit me.
530,i really missed you a lot.
531,i've been missing you like crazy.
532,i don't understand why you haven't come to visit me.
533,"lately, i've been quite busy."
534,tell me what you've been up to.
535,i've really been working a lot lately.
536,i've been pretty busy myself.
537,so what have you been up to?
538,i've just been working a lot.
539,"hey, did you hear about jessica's party this weekend?"
540,"yeah, but i'm still waiting for my invitation."
541,oh really? she gave me mine earlier today.
542,"well, she'll probably just give me my invitation later on today."
543,"yeah, so are you planning on going?"
544,i think so. it sounds like it's going to be a lot of fun.
545,"it really does, i can't wait."
546,what time does the party start?
547,it starts at 8 o'clock.
548,"oh, well, how many people has she given invites to so far?"
549,"i'm not sure, but i don't think she's given out that many."
550,have you heard about jessica's party on saturday?
551,"i've heard about it, but i'm still waiting for my invitation."
552,really? i got mine from her this morning.
553,i'm guessing that she's going to give me my invite today or tomorrow.
554,"you're probably right, do you intend on going to the party?"
555,i want to. i heard it's going to be really fun.
556,"i know, it does sound pretty awesome."
557,"well, when does the party start?"
558,it's supposed to start at about eight.
559,how many invitations has she given out?
560,"i really don't know, but i don't think she gave out that many yet."
561,has anyone told you about jessica's party coming up?
562,i was told about it already. i'm just waiting for my invitation.
563,is that right? i already got my invitation from her earlier.
564,i believe that she will give me the invitation today.
565,are you even going to go?
566,"yeah, it sounds like it's going to be the best party of the year."
567,"exactly, it seems like it's going to be loads of fun."
568,when exactly does the party start?
569,the invitation says it starts at 8:00 p.m.
570,has she given out a lot of invitations yet?
571,"hey, what's up?"
572,nothing really.
573,i'm throwing a party on friday.
574,i didn't realize that.
575,you didn't?
576,nobody has told me anything about your party.
577,did you want to go?
578,when does it start?
579,at 8:00 p.m.
580,i'll be there.
581,i'd better see you there.
582,what's going on with you?
583,fine. what's going on with you?
584,i'm having a party this friday.
585,i had no idea.
586,is that right?
587,i didn't hear anything about it.
588,can you go?
589,what time?
590,it starts at 8 o'clock.
591,i'll go.
592,i hope that i'll see you there.
593,what's going on?
594,not much.
595,"this friday, i'm throwing a party."
596,oh really? i didn't know that.
597,are you serious?
598,i haven't heard anything about it.
599,can you make it?
600,what time does it start?
601,the party starts at 8.
602,"yeah, i think i'll go."
603,what's going on?
604,"nothing really, you?"
605,i'm throwing a party next saturday.
606,is that right?
607,"yeah, are you going to come?"
608,"i'm sorry, i can't."
609,why not?
610,i don't really want to.
611,"well, why don't you?"
612,i hate going to parties.
613,"well, that's okay."
614,what's up?
615,"nothing, how about you?"
616,"next saturday, i'm going to have a party."
617,"oh, really?"
618,you are coming?
619,probably not.
620,why is that?
621,i don't feel like going.
622,why not?
623,i really can't stand going to parties.
624,"i understand, i guess."
625,what's happening?
626,"not a lot, what about you?"
627,i'm having a party next saturday.
628,that's nice.
629,are you going to be there?
630,i don't think so.
631,is there a reason why?
632,i just really don't want to go.
633,how come?
634,i don't really like parties.
635,what's up?
636,"nothing much, what's going on?"
637,i'm having a party this friday.
638,"oh, really? that's nice."
639,i wanted to see if you wanted to come.
640,"this friday? sorry, i already have plans."
641,doing what?
642,i'm going to dinner with my family.
643,"i really wanted you to come, but i understand."
644,"yeah, maybe next time."
645,i'll hold you to that.
646,"hey, what's good with you?"
647,not a lot. what about you?
648,i'm throwing a party on friday.
649,that sounds like fun.
650,do you think you can come?
651,i'm sorry. i'm already doing something this friday.
652,what are you going to be doing?
653,my family and i are going to dinner.
654,i was hoping you would come.
655,i'll definitely try to make it the next time.
656,i'd better see you there.
657,what's going on?
658,nothing really. how about you?
659,"a lot, like the party i'm having on friday."
660,"well, that's cool."
661,will you be able to make it?
662,i'm busy this friday. i'm sorry.
663,what do you have to do?
664,i'm having dinner with my family
665,maybe you can come next time.
666,i'll make sure and come to your next party.
667,it was nice talking to you.
668,why are you trying to rush me off the phone?
669,i really have to go.
670,why? i still wanted to talk to you.
671,i have things to do.
672,like what?
673,don't be nosey.
674,i'm not. i just want to know.
675,"well, it's really none of your business."
676,that's harsh.
677,"i'm sorry, but i have to go."
678,i've enjoyed conversing with you.
679,is there a reason why you're trying to get off the phone so fast?
680,i've got to go.
681,i wasn't done talking to you.
682,"i have to do some things, and besides, it's not polite to be nosey."
683,i'm not being nosey. i'm just asking.
684,i really don't think it's any of your business.
685,that's not nice.
686,"i apologize, but i'm getting off the phone now."
687,i'll talk to you later.
688,what's the rush?
689,i have to get off the phone now.
690,i'm not ready to get off the phone with you.
691,there are other things i need to take care of.
692,what is it that you need to do?†
693,please don't be nosey.
694,"i'm not being nosey, it's just a question."
695,you don't need to worry about that.
696,that was mean to say.
697,"well, it was nice talking to you."
698,it was nice talking to you too.
699,we should really hang out again.
700,that would be fun.
701,where do you want to go?
702,i think we should go out to eat.
703,that sounds good.
704,"all right, so i'll see you then."
705,i'll call you later.
706,"okay, i'll talk to you later then."
707,see you later.
708,i enjoyed talking to you.
709,i enjoyed talking to you too.
710,we should hang out some time.
711,i think that would be nice.
712,is there anything you would like to do next time?
713,do you want to go out to eat?
714,i'd like that.
715,so i'll see you next time.
716,i'm going to call you soon.†
717,i'll talk to you later.
718,see you soon.
719,i had fun talking to you.
720,it was really nice talking to you also.
721,i think we should really do something sometime.
722,that should be loads of fun.
723,what do you want to do next time?
724,would you like to go to dinner or something?
725,"yeah, let's do that."
726,"okay, until next time then."
727,i'll call you so we can set that up.
728,talk to you then.
729,where do you live?
730,i live in pasadena.
731,where is pasadena?
732,it's in california.
733,is it in northern california?
734,no. it's in southern california.
735,is pasadena a big city?
736,it's pretty big.
737,"how big is ""pretty big""?"
738,"it has about 140,000 people."
739,how big is los angeles?
740,do you have a car?
741,"yes, i do."
742,what kind of car do you have?
743,i have a honda.
744,is it new?
745,it was new in 2003.
746,"so, it's pretty old now."
747,"yes, it is. but it still looks good."
748,do you take good care of it?
749,"oh, yes. i wash it once a week."
750,do you change the oil?
751,do you have a girlfriend?
752,"no, i don't. do you?"
753,"i don't have a girlfriend, either."
754,why not?
755,i don't know. maybe i'm not rich enough.
756,girls like guys with money.
757,they sure do.
758,they like guys with new cars.
759,i don't have money or a new car.
760,"me, neither."
761,but girls like guys who are funny.
762,where are you going?
763,i have to walk the dog.
764,what kind of dog do you have?
765,i have a little poodle.
766,poodles bark a lot.
767,they sure do.
768,they bark at everything.
769,they never shut up.
770,why did you get a poodle?
771,it's my mom's dog.
772,so she likes poodles.
773,can i borrow $5?
774,sure. why do you need it?
775,i want to buy lunch.
776,where's your money?
777,it's not in my wallet.
778,your wallet is empty?
779,i don't have even one dollar in it.
780,being broke is no fun.
781,even if it's only for a short while.
782,it's always good to have friends.
783,friends will lend you money when you're broke.
784,let's go to the beach.
785,that's a great idea.
786,we haven't been in a while.
787,we haven't been in a month.
788,"the last time we went, you almost drowned."
789,"no, i didn't."
790,then why did the lifeguard dive into the water?
791,i think he wanted to cool off.
792,he swam right up to you.
793,and then he turned right around.
794,maybe you're right.
795,are you married?
796,no. i'm divorced.
797,when did you get divorced?
798,i got divorced two years ago.
799,why did you get divorced?
800,my wife left me.
801,why did she leave you?
802,she said she didn't love me anymore.
803,wow! that's terrible.
804,"yes, it was."
805,why didn't she love you anymore?
806,i'm bored.
807,what's on tv?
808,nothing.
809,there must be something on tv!
810,nothing that's interesting.
811,what about that new game show?
812,which one?
813,"""deal or no deal"""
814,tell me you're joking.
815,i love that show.
816,i watched it once. that was enough.
817,i like living here.
818,i agree. pasadena is a nice city.
819,it's not too big.
820,and it's not too small.
821,it has great weather all year long.
822,it has the rose parade.
823,it has beautiful houses.
824,it has wonderful restaurants.
825,it has great schools.
826,it's close to the mountains.
827,the people are friendly.
828,we need a new mattress.
829,what's the matter with this one?
830,it's not comfortable.
831,it seems fine to me.
832,i toss and turn all night.
833,you should stop drinking coffee.
834,look at these marks on my arms.
835,what are they?
836,they are bites.
837,did the cat bite you?
838,no. the bedbugs in that mattress bit me.
839,my laptop is so slow.
840,buy a new one.
841,i would if i had the money.
842,why is it so slow?
843,that's a good question.
844,did you take it to a computer shop?
845,i would if i had the money.
846,"well, i guess you have to live with it."
847,sometimes i want to throw it out the window.
848,you don't want to do that.
849,why not?
850,what's for dinner?
851,i'm not sure.
852,how about a pizza?
853,you had pizza for lunch.
854,but i love pizza.
855,everybody loves pizza.
856,so why can't i have pizza for dinner?
857,because you need variety.
858,"what's ""variety?"
859,different things√Ç‚Äînot the same thing all the time.
860,"you mean, like a pepperoni pizza instead of a cheese pizza?"
861,we need to save money.
862,why do we need to save money?
863,because we need to buy a house.
864,but a house is so expensive.
865,that's why we need to save money.
866,how much do we need to save?
867,we need to save enough for a down payment.
868,how much is that?
869,"that's about $30,000."
870,thirty thousand dollars! that will take forever.
871,not if we save every penny.
872,the ocean is so big.
873,you can't see the end of it.
874,it goes on and on forever.
875,"and it's deep, too."
876,i think it's five miles deep.
877,are there fish at the bottom?
878,there are fish at the top and the bottom.
879,are there more fish or more people?
880,i think there are more fish.
881,i'm upset with my mom.
882,why is that?
883,i warned her about her new boyfriend. she didn't listen to me.
884,what happened?
885,"i gave her $1,000 for her birthday. i told her to spend it on herself."
886,that was very nice of you.
887,i found out that she gave it to her new boyfriend.
888,why did she do that?
889,he said he would buy her a nice ring.
890,what's wrong with that?
891,he went to las vegas. he lost it all gambling.
892,do animals talk to each other?
893,of course they talk to each other.
894,what do they talk about?
895,they talk about other animals.
896,what else do they talk about?
897,they talk about food and the weather.
898,do they talk about us?
899,of course they talk about us.
900,what do they say about us?
901,they say that we are funny-looking.
902,ha! we're not funny-looking; animals are funny-looking.
903,i have to clean the house.
904,"yes, it's very dirty."
905,you can help me.
906,why me?
907,because you helped make it dirty.
908,what do you want me to do?
909,i want you to clean the bathroom.
910,"oh, that's easy."
911,"clean the sink, the tub, the counter, and the toilet."
912,that's a lot of work.
913,tell me when you finish.
914,you're watching too much tv.
915,what do you mean?
916,i mean you're wasting your life.
917,i'm having fun.
918,you're sitting there with your mouth open.
919,who cares?
920,i care. do something.
921,okay. i did something.
922,what did you do?
923,i turned up the volume.
924,"that's not what i meant by ""do something."""
925,did you write a letter to grandma?
926,"yes, i did."
927,did you tell her about school?
928,i told her that school is fun.
929,did you put the letter in an envelope?
930,"yes, and i sealed the envelope."
931,did you put a stamp on the envelope?
932,i couldn't find any stamps.
933,they're in the kitchen drawer.
934,okay. i just put a stamp on the envelope.
935,"give me the envelope, and i'll mail it for you."
936,why are you yawning?
937,i'm sleepy.
938,why don't you go to bed?
939,i want to watch this tv show.
940,maybe you should record it.
941,the tape recorder is broken.
942,then you should watch the rerun.
943,why? i'm watching the original.
944,but you'll be asleep in about one minute.
945,i'm just yawning because the commercials are on.
946,okay. i'll tell you how the show ends.
947,it's sunday.
948,so?
949,you know what that means.
950,i forgot.
951,sunday means we go to church.
952,"oh, yeah."
953,put on a coat and tie.
954,why?
955,to show respect to god and others.
956,i'm glad sunday is only once a week.
957,i hope god didn't hear that.
958,did you feed the cat?
959,i'll do that in a minute.
960,the cat is meowing. he's hungry.
961,okay. i'll feed him right now.
962,you shouldn't make him wait.
963,i was doing my homework.
964,the cat doesn't care about your homework.
965,the cat doesn't care about anything.
966,that's the way cats are.
967,all they think about is themselves.
968,maybe we should get rid of him.
969,i hate shaving.
970,me too.
971,i just cut myself again.
972,did you use a new blade?
973,"it doesn't matter. old blades cut, new blades cut."
974,maybe you should use an electric shaver.
975,"they make a lot of noise, but they don't give a close shave."
976,maybe you should stop shaving.
977,and grow a beard?
978,sure. why not?
979,because food and other stuff sticks in my beard.
980,excuse me.
981,yes?
982,are you reading this paper?
983,"oh, no. help yourself."
984,i asked because the paper is sitting next to you.
985,thank you. that's polite of you to ask.
986,some people would just pick it up.
987,"yes, i know. some people are rude."
988,i always try to be polite.
989,so do i.
990,the world needs more polite people like us.
991,"mom, i want a puppy."
992,let me think about it.
993,why do you have to think about it?
994,because a puppy costs money.
995,"no, it doesn't. puppies are free."
996,"yes, but a puppy needs shots."
997,shots for what?
998,so it won't get sick. just like you get shots.
999,i hate shots.
1000,and a puppy eats food. food costs money.
1001,no problem. i'll give him food off my plate.
1002,look at all these kittens!
1003,how many are there?
1004,eight.
1005,they're all so cute.
1006,"yes, but i can't keep them."
1007,what are you going to do with them?
1008,i'm going to give them away. do you want one?
1009,"yes, i would love one."
1010,which one do you want?
1011,that one. the one that's all black.
1012,"yes, i like that one, too."
1013,my parents go to church every sunday.
1014,they trust in god.
1015,they hope they will go to heaven.
1016,they probably will.
1017,but no one knows for sure.
1018,that's for sure.
1019,no one knows what happens after we die.
1020,"if we are good, we will be happy in heaven with god."
